t,measurement,delta,true_position,true_velocity,snn_position,snn_velocity,kalman_position,kalman_velocity,qkalman_position,qkalman_velocity,hwsnn_position,hwsnn_velocity,input_spike_0,input_spike_1,input_spike_2,input_spike_3,reservoir_spike_0,reservoir_spike_1,reservoir_spike_2,reservoir_spike_3,reservoir_spike_4,reservoir_spike_5,reservoir_spike_6,reservoir_spike_7,membrane_0,membrane_1,membrane_2,membrane_3,membrane_4,membrane_5,membrane_6,membrane_7
59,0.795207464142358,0.25646223488374653,0.7650944221480772,0.38411277800943816,0.135986328125,0.3515625,0.7253009701356475,0.17357511856653052,0.73095703125,0.21875,0.135986328125,0.3515625,1,0,1,0,0,0,0,0,0,1,0,0,-1.541748046875,-0.125244140625,-3.9990234375,-1.197265625,0.869873046875,0.22216796875,-3.615234375,-2.903076171875
60,0.7518108468067912,-0.04339661733556677,0.7730962392604219,0.400090855617237,0.28466796875,0.395751953125,0.7303756824358126,0.1760120287685526,0.737060546875,0.220947265625,0.28466796875,0.395751953125,1,0,0,0,0,0,0,0,1,0,0,0,-1.560546875,-0.066650390625,-3.9990234375,-1.13818359375,0.05517578125,0.765869140625,-3.59033203125,-2.92333984375
61,0.7510388616977408,-0.0007719851090504104,0.7814176179249226,0.41606893322503585,0.23095703125,0.244384765625,0.73507618017954,0.1777959351243135,0.742431640625,0.22216796875,0.23095703125,0.244384765625,1,0,0,0,0,0,0,0,0,1,0,0,-1.576904296875,0.03662109375,-3.9990234375,-1.08642578125,0.201171875,0.21484375,-3.568603515625,-2.94091796875
62,0.7542985244679936,0.0032596627702528025,0.7900585581415793,0.4320470108328347,0.296142578125,0.322509765625,0.7396996782598333,0.17940122305057174,0.74755859375,0.22314453125,0.296142578125,0.322509765625,1,0,0,0,0,0,0,0,0,0,0,0,-1.59130859375,0.074951171875,-3.9990234375,-1.041259765625,0.469970703125,0.759521484375,-3.549560546875,-2.956298828125
63,0.7180761064084332,-0.03622241805956039,0.799019059910392,0.44802508844063355,0.232421875,0.199951171875,0.7415865163126252,0.1768551925432671,0.74853515625,0.218505859375,0.232421875,0.199951171875,1,0,0,0,0,0,0,0,0,1,0,0,-1.603759765625,0.108642578125,-3.9990234375,-1.001708984375,0.56396484375,0.236083984375,-3.532958984375,-2.9697265625
64,0.719407630985178,0.0013315245767447914,0.8082991232313607,0.4640031660484324,0.2822265625,0.28271484375,0.7434047034311376,0.17429355604770097,0.74951171875,0.2138671875,0.2822265625,0.28271484375,1,0,0,0,0,0,0,0,0,0,0,0,-1.61474609375,0.137939453125,-3.9990234375,-0.967041015625,0.787353515625,0.778076171875,-3.518310546875,-2.981689453125
65,0.926440081277383,0.20703245029220496,0.8178987481044853,0.47998124365623124,0.260986328125,0.600830078125,0.7587841076006555,0.19195015172092028,0.771728515625,0.23779296875,0.260986328125,0.600830078125,1,0,1,0,0,0,0,0,0,1,0,0,-1.443115234375,-0.366943359375,-3.9990234375,-1.38818359375,0.934326171875,0.6826171875,-3.7353515625,-2.8251953125
66,0.7078074837049426,-0.21863259757244036,0.8278179345297658,0.4959593212640301,0.3955078125,0.4560546875,0.759023319027804,0.1866244139018679,0.769287109375,0.228271484375,0.3955078125,0.4560546875,1,0,0,1,0,0,0,0,0,0,0,0,-1.9873046875,-0.26904296875,-3.9990234375,-1.63720703125,0.987548828125,0.916259765625,-3.316162109375,-3.00830078125
67,0.7063520660932948,-0.0014554176116478024,0.8380566825072024,0.511937398871829,0.24609375,0.333740234375,0.7590821840839194,0.18120606746346354,0.766845703125,0.218994140625,0.24609375,0.333740234375,1,0,0,0,0,0,0,0,1,1,0,0,-1.9501953125,-0.1923828125,-3.9990234375,-1.523193359375,0.016845703125,0.373291015625,-3.32861328125,-3.015380859375
68,0.860146475937211,0.15379440984391624,0.848614992036795,0.5279154764796279,0.375244140625,0.41552734375,0.7690028458787657,0.1904679199397502,0.780517578125,0.231201171875,0.375244140625,0.41552734375,1,0,0,0,0,0,0,0,0,0,0,0,-1.91796875,-0.073486328125,-3.9990234375,-1.42333984375,0.30859375,0.871337890625,-3.339599609375,-3.021484375
